fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_df9.archMaterial,archMaterial,burnedStruct,0.0,5.0,0
tmp_df9.archMaterial,archMaterial,floors,0.0,9.0,0
tmp_df9.archMaterial,archMaterial,walls,0.0,9.0,0
tmp_df9.archMaterial,archMaterial,drains,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,wallFixtures,0.0,5.0,0
tmp_df9.archMaterial,archMaterial,murals,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,tableros,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,floorMaterial,0.0,8.0,0
tmp_df9.archMaterial,archMaterial,wallCoreStone,0.0,7.0,0
tmp_df9.archMaterial,archMaterial,wallCoreOthMat,0.0,5.0,0
tmp_df9.archMaterial,archMaterial,wallFacing,0.0,9.0,0
tmp_df9.archMaterial,archMaterial,wells,0.0,4.0,0
tmp_df9.archMaterial,archMaterial,jagueys,0.0,4.0,0
tmp_df9.archMaterial,archMaterial,puestos,0.0,4.0,0
tmp_df9.archMaterial,archMaterial,freeStandWall,0.0,4.0,0
tmp_df9.fieldWorkers,fieldWorkers,SSN,0.0,-0.34039816,0
tmp_df9.fieldWorkers,fieldWorkers,personnelCode,0.0,29.0,0
tmp_df9.labAnalysts,labAnalysts,SSN,0.0,-0.45517242,0
tmp_df9.labAnalysts,labAnalysts,personnelCode,0.0,24.0,0
tmp_df9.complexData,complexData,SSN,0.0,-1.0,0
tmp_df9.complexData,complexData,complexUnit,0.0,32.0,0
tmp_df9.complexData,complexData,complexNum,0.0,14.0,0
tmp_df9.complexData,complexData,archInt1PaTz,0.0,11.0,0
tmp_df9.complexData,complexData,archInt1McTl,0.0,11.0,0
tmp_df9.complexData,complexData,archInt1XlMt,0.0,11.0,0
tmp_df9.complexData,complexData,archInt2PaTz,0.0,9.0,0
tmp_df9.complexData,complexData,archInt2McTl,0.0,8.0,0
tmp_df9.complexData,complexData,archInt2XlMt,0.0,8.0,0
tmp_df9.complexData,complexData,funcIntPaTz,0.0,4.0,0
tmp_df9.complexData,complexData,funcIntMcTl,0.0,6.0,0
tmp_df9.complexData,complexData,funcIntXlMt,0.0,6.0,0
tmp_df9.complexData,complexData,funcResPaTz,0.0,5.0,0
tmp_df9.complexData,complexData,funcResMcTl,0.0,6.0,0
tmp_df9.complexData,complexData,funcResXlMt,0.0,6.0,0
tmp_df9.complexData,complexData,funcTmpPaTz,0.0,6.0,0
tmp_df9.complexData,complexData,funcTmpMcTl,0.0,6.0,0
tmp_df9.complexData,complexData,funcTmpXlMt,0.0,6.0,0
tmp_df9.complexData,complexData,funcCivPaTz,0.0,4.0,0
tmp_df9.complexData,complexData,funcCivMcTl,0.0,4.0,0
tmp_df9.complexData,complexData,funcCivXlMt,0.0,4.0,0
tmp_df9.complexData,complexData,funcOthXlMt,0.0,8.0,0
tmp_df9.cerNonVessel,cerNonVessel,SSN,0.0,-1.0,0
tmp_df9.cerNonVessel,cerNonVessel,figTot,0.0,113.0,0
tmp_df9.cerNonVessel,cerNonVessel,figHead,0.0,21.0,0
tmp_df9.cerNonVessel,cerNonVessel,figPPat,0.0,4.0,0
tmp_df9.cerNonVessel,cerNonVessel,figPatl,0.0,8.0,0
tmp_df9.cerNonVessel,cerNonVessel,figTzac,0.0,8.0,0
tmp_df9.cerNonVessel,cerNonVessel,figMicc,0.0,25.0,0
tmp_df9.cerNonVessel,cerNonVessel,figTlam,0.0,19.0,0
tmp_df9.cerNonVessel,cerNonVessel,figXola,0.0,20.0,0
tmp_df9.cerNonVessel,cerNonVessel,figMete,0.0,10.0,0
tmp_df9.cerNonVessel,cerNonVessel,figTolt,0.0,6.0,0
tmp_df9.cerNonVessel,cerNonVessel,figAzte,0.0,7.0,0
tmp_df9.cerNonVessel,cerNonVessel,figPupp,0.0,36.0,0
tmp_df9.cerNonVessel,cerNonVessel,spindleWhorl,0.0,6.0,0
tmp_df9.cerNonVessel,cerNonVessel,sealStamp,0.0,4.0,0
tmp_df9.cerNonVessel,cerNonVessel,earSpool,0.0,4.0,0
tmp_df9.cerNonVessel,cerNonVessel,whistle,0.0,4.0,0
tmp_df9.cerNonVessel,cerNonVessel,flute,0.0,5.0,0
tmp_df9.cerNonVessel,cerNonVessel,ceramicDisk,0.0,20.0,0
tmp_df9.cerNonVessel,cerNonVessel,candTot,0.0,78.0,0
tmp_df9.cerNonVessel,cerNonVessel,candCoat,0.0,6.0,0
tmp_df9.cerNonVessel,cerNonVessel,candAtoy,0.0,4.0,0
tmp_df9.cerNonVessel,cerNonVessel,candEXol,0.0,7.0,0
tmp_df9.cerNonVessel,cerNonVessel,candLXol,0.0,7.0,0
tmp_df9.cerNonVessel,cerNonVessel,candMete,0.0,25.0,0
tmp_df9.cerNonVessel,cerNonVessel,candComm,0.0,58.0,0
tmp_df9.Plazas,Plazas,SSN,0.0,-1.0,0
tmp_df9.Plazas,Plazas,PlazaNo,0.0,75.0,0
